79;93;
-3;-10;
-40;74;
87;98;
2;-10;
-6;-40;
-93;37;
13;-87;
55;-6;
-5;17;
61;67;
55;-43;
6;-98;
62;50;
-40;-1;
67;-67;
-46;22;
-72;95;
-82;29;
-68;39;
28;53;
-45;-44;
71;-62;
-51;77;
72;-82;
63;-49;
-12;51;
-90;94;
90;94;
16;-43;
97;-80;
-87;2;
-2;-99;
-30;86;
-12;29;
21;-83;
27;89;
-74;71;
-7;-66;
88;43;
20;36;
32;87;
-59;93;
-98;15;
58;88;
2;49;
14;-7;
-99;22;
-2;-95;
25;-87;
63;-62;
-26;50;
29;79;
-39;-75;
84;-82;
27;39;
-52;-49;
29;52;
38;75;
-54;89;
3;76;
0;-9;
-39;68;
-9;-39;
-8;-39;
-28;-82;
65;-14;
89;-61;
-29;-99;
42;-39;
-42;13;
-98;-75;
40;-73;
-19;3;
40;70;
48;15;
100;-42;
-48;-45;
-2;17;
-70;39;
54;-25;
95;24;
57;38;
-42;14;
90;55;
-70;-28;
95;-28;
90;-13;
15;-54;
-56;7;
24;60;
-43;90;
6;86;
22;-77;
-21;-68;
30;23;
37;28;
-49;-62;
-60;98;
-2;60;
-49;-42;
-72;25;
88;-91;
-85;-93;
-89;-55;
-31;-35;
7;10;
-38;-95;
-74;-80;
50;87;
99;54;
32;5;
-99;-24;
-89;54;
-68;-46;
-16;37;
-74;1;
36;2;
-69;18;
-61;1;
-5;-12;
25;78;
85;-40;
3;-98;
-1;2;
4;30;
-9;-78;
-45;29;
2;-31;
72;-83;
30;-20;
77;33;
-55;61;
-63;46;
54;62;
25;31;
89;-55;
41;-45;
-93;88;
45;-86;
-88;49;
30;-46;
8;17;
-48;-43;
-7;95;
-81;10;
-57;-97;
-51;-93;
-71;-100;
17;75;
-38;-19;
-28;99;
-70;96;
54;-99;
82;36;
-58;-55;
93;-50;
35;95;
-31;77;
-59;20;
67;42;
90;81;
3;21;
-99;-41;
46;-56;
-2;-16;
0;84;
84;77;
68;-57;
99;-28;
42;-55;
45;75;
-19;-27;
100;-85;
64;19;
-59;76;
86;-7;
-90;59;
-85;-73;
25;-13;
-49;48;
-20;-67;
43;-3;
-92;-72;
-91;-71;
-40;-17;
-40;98;
67;-88;
-92;-73;
81;-49;
-44;-66;
-37;98;
-78;-41;
29;-3;
55;91;
-80;77;
100;-76;
-10;72;
-100;61;
-87;-54;
